map_seed,repetition,policy,steps,success,terminated,truncated,complete,base_return,shaped_return,noop_steps,trajectory_sha256
300078,8,guided,15,1,1,0,1,0.85,1.0024000000000002,12,058290958eb301453a3e01f348d86df23f96b3f9c5b98692057ae08bec44dd5e
300078,9,guided,15,1,1,0,1,0.85,1.0024000000000002,12,058290958eb301453a3e01f348d86df23f96b3f9c5b98692057ae08bec44dd5e
300078,10,guided,15,1,1,0,1,0.85,1.0024000000000002,12,058290958eb301453a3e01f348d86df23f96b3f9c5b98692057ae08bec44dd5e
300078,11,guided,15,1,1,0,1,0.85,1.0024000000000002,12,058290958eb301453a3e01f348d86df23f96b3f9c5b98692057ae08bec44dd5e
300078,12,guided,15,1,1,0,1,0.85,1.0024000000000002,12,058290958eb301453a3e01f348d86df23f96b3f9c5b98692057ae08bec44dd5e
300078,13,guided,15,1,1,0,1,0.85,1.0024000000000002,12,058290958eb301453a3e01f348d86df23f96b3f9c5b98692057ae08bec44dd5e
300078,14,guided,15,1,1,0,1,0.85,1.0024000000000002,12,058290958eb301453a3e01f348d86df23f96b3f9c5b98692057ae08bec44dd5e
300078,15,guided,15,1,1,0,1,0.85,1.0024000000000002,12,058290958eb301453a3e01f348d86df23f96b3f9c5b98692057ae08bec44dd5e
300079,0,random,32,0,0,1,1,-0.3200000000000001,0.06360000000000016,14,a0b1451cc5085a4635e0133fdcf0924b2de02ffb6d4699fcb23a201dac8a31dc
300079,1,random,32,0,0,1,1,-0.3200000000000001,0.037200000000000094,9,30bb3bce1e632585a61fb9606a6d7d2525533d9b00851b72bc1caeffa225cce1
300079,2,random,32,0,0,1,1,-0.3200000000000001,0.0432000000000001,6,3db981ccb80e6616fb4cf8a4afff2226192cfc8e1fd8a3e538948de527895408
300079,3,random,32,0,0,1,1,-0.3200000000000001,0.06000000000000014,10,a9dfe2de448969a974fe6c1b4e8af76b5cac22dff5a70c3275f12548ed6b3099
300079,4,random,32,0,0,1,1,-0.3200000000000001,0.06600000000000013,14,1c80bba233827d48e6ef2c754734d3364b14d020e5d1fe0dcc0488a8b949b27e
300079,5,random,32,0,0,1,1,-0.3200000000000001,0.04800000000000013,10,bc5b187e58e3352e7a84dc1aba1bca8b2b2940eac5799d33fc4fa9a7be4da7ff
300079,6,random,32,0,0,1,1,-0.3200000000000001,0.04800000000000011,9,7c3b881a7d55898d1d652538d52c14627a70ccb3602c4c36d674d76a04625802
300079,7,random,32,0,0,1,1,-0.3200000000000001,0.038400000000000115,12,752fa61fb22dd9340a5560ff4871f6b080a6ff0383d3291da9a454f5a0f493cf
300079,8,guided,32,0,0,1,1,-0.3200000000000001,0.1032000000000001,31,2e55a0cba40b87bc1a967fb3d5f1b10baefe9886f54bf2825ca6154576b7c794
300079,9,guided,32,0,0,1,1,-0.3200000000000001,0.1032000000000001,31,2e55a0cba40b87bc1a967fb3d5f1b10baefe9886f54bf2825ca6154576b7c794
300079,10,guided,32,0,0,1,1,-0.3200000000000001,0.1032000000000001,31,2e55a0cba40b87bc1a967fb3d5f1b10baefe9886f54bf2825ca6154576b7c794
300079,11,guided,32,0,0,1,1,-0.3200000000000001,0.1032000000000001,31,2e55a0cba40b87bc1a967fb3d5f1b10baefe9886f54bf2825ca6154576b7c794
300079,12,guided,32,0,0,1,1,-0.3200000000000001,0.1032000000000001,31,2e55a0cba40b87bc1a967fb3d5f1b10baefe9886f54bf2825ca6154576b7c794
300079,13,guided,32,0,0,1,1,-0.3200000000000001,0.1032000000000001,31,2e55a0cba40b87bc1a967fb3d5f1b10baefe9886f54bf2825ca6154576b7c794
300079,14,guided,32,0,0,1,1,-0.3200000000000001,0.1032000000000001,31,2e55a0cba40b87bc1a967fb3d5f1b10baefe9886f54bf2825ca6154576b7c794
300079,15,guided,32,0,0,1,1,-0.3200000000000001,0.1032000000000001,31,2e55a0cba40b87bc1a967fb3d5f1b10baefe9886f54bf2825ca6154576b7c794
300080,0,random,32,0,0,1,1,-0.3200000000000001,0.02760000000000014,9,424ca846ab9feb396656a7d20621ac96c5bb1cbfc943d5837063c4c2505c2a52
300080,1,random,32,0,0,1,1,-0.3200000000000001,0.1128000000000002,9,1662108cf9dd9517479318e8b5fa64fe93a50388abfb43cdca53ce85220633f8
300080,2,random,32,0,0,1,1,-0.3200000000000001,0.06360000000000021,8,a34f07b3f4b8d8ab299b0257a6f2475ca02555866fda30098a78a7fa383b1219
300080,3,random,32,0,0,1,1,-0.3200000000000001,0.11400000000000018,12,07f029dfa1c97758da39ba1c0df891f8feb452cc9a51f271eadaa0aea157d97a
300080,4,random,32,0,0,1,1,-0.3200000000000001,9.71445146547012e-17,12,14b6bfd83c38fcb19951cb34cef4660b12dd91e450ceefad0bdd21138d104546
300080,5,random,32,0,0,1,1,-0.3200000000000001,0.06600000000000011,11,57c1588f646c5856e873eaa9cf294d271144306bc725ec5a7b8b7865d5290b4e
300080,6,random,32,0,0,1,1,-0.3200000000000001,0.008400000000000095,12,bf021dcff4a6863f94f0394c71a0e7190ff27c15b42ef6b5eb346059f5d7bb9f
300080,7,random,32,0,0,1,1,-0.3200000000000001,0.050400000000000146,10,65d73e1a18458121e860d63b6d0a86759107bd156d770559a67c15507c7f6b55
300080,8,guided,10,1,1,0,1,0.9,1.1336,3,20519c16510d907fd81730fec89e7a928cd92e0f76c8c9424d86e30a714ac355
300080,9,guided,10,1,1,0,1,0.9,1.1336,3,20519c16510d907fd81730fec89e7a928cd92e0f76c8c9424d86e30a714ac355
300080,10,guided,10,1,1,0,1,0.9,1.1336,3,20519c16510d907fd81730fec89e7a928cd92e0f76c8c9424d86e30a714ac355
300080,11,guided,10,1,1,0,1,0.9,1.1336,3,20519c16510d907fd81730fec89e7a928cd92e0f76c8c9424d86e30a714ac355
300080,12,guided,10,1,1,0,1,0.9,1.1336,3,20519c16510d907fd81730fec89e7a928cd92e0f76c8c9424d86e30a714ac355
300080,13,guided,10,1,1,0,1,0.9,1.1336,3,20519c16510d907fd81730fec89e7a928cd92e0f76c8c9424d86e30a714ac355
300080,14,guided,10,1,1,0,1,0.9,1.1336,3,20519c16510d907fd81730fec89e7a928cd92e0f76c8c9424d86e30a714ac355
300080,15,guided,10,1,1,0,1,0.9,1.1336,3,20519c16510d907fd81730fec89e7a928cd92e0f76c8c9424d86e30a714ac355
300081,0,random,32,0,0,1,1,-0.3200000000000001,-0.08519999999999983,19,238f0044cb4ed8737bf3db03b61d9bb88c93b20fab4322c2a4eb3076638bfff7
300081,1,random,2,1,1,0,1,0.98,1.0612,0,a1abb75648411c99eb4141b167d32dbde94178e8ab9ee4cd551f4eb7c135e0fa
300081,2,random,16,1,1,0,1,0.84,0.9548000000000001,6,57b7563e36957dc16d1c637864e9436cfca8a3026d5904e5e4d8d2f052b1b0ae
300081,3,random,31,1,1,0,1,0.69,0.8972000000000002,17,998baee94458c7a4ff654e7fa094bbb0f8f50dd515a4eb095d3fd48a4004c5c9
300081,4,random,32,0,0,1,1,-0.3200000000000001,-0.13799999999999993,10,4de256347ceed73e61606cee0e9a640c480df0304049c51a8ad09bbaff199b15
300081,5,random,9,1,1,0,1,0.91,1.0128000000000001,3,5b4134896088300a2d09fd7da3bf892b2967cfce729ca0d558f1a370e288f28a
300081,6,random,3,1,1,0,1,0.97,1.0536,1,c89a0e21ac8160aa732a2bec6bcc15ab627ca837f119b71f7a84e6784ff707d0
