scenario_id,policy_id,seed,shortfall_per_10k,post_shift_shortfall_per_10k,false_alarm,false_mitigation_ticks,missed_crisis,response_delay_ticks,mitigation_ticks,post_shift_ticks
reporting_and_timing_shift,raw,41002,66410.0,165610.97256857855,False,0,False,29,37,401
reporting_and_timing_shift,raw,41003,69880.0,174264.3391521197,False,0,False,65,20,401
reporting_and_timing_shift,raw,41004,70870.0,176733.16708229424,False,0,False,39,14,401
reporting_and_timing_shift,raw,41005,64290.0,160324.18952618452,False,0,False,29,53,401
reporting_and_timing_shift,raw,41006,71300.0,177805.48628428928,False,0,False,159,15,401
reporting_and_timing_shift,raw,41007,62990.00000000001,157082.29426433914,False,0,False,30,54,401
reporting_and_timing_shift,raw,41008,65650.0,163715.71072319202,False,0,False,49,40,401
reporting_and_timing_shift,raw,41009,73660.0,183690.77306733167,False,0,False,91,5,401
reporting_and_timing_shift,raw,41010,68680.0,171271.8204488778,False,0,False,26,27,401
reporting_and_timing_shift,raw,41011,67680.0,168778.05486284287,False,0,False,37,27,401
reporting_and_timing_shift,raw,41012,66590.0,166059.85037406484,False,0,False,90,33,401
reporting_and_timing_shift,raw,41013,71030.0,177132.16957605985,False,0,False,34,13,401
reporting_and_timing_shift,raw,41014,68510.0,170847.88029925185,False,0,False,78,29,401
reporting_and_timing_shift,raw,41015,67770.0,169002.49376558606,False,0,False,30,29,401
reporting_and_timing_shift,raw,41016,69780.0,174014.96259351622,False,0,False,95,18,401
reporting_and_timing_shift,raw,41017,72990.0,182019.95012468827,False,0,False,231,4,401
reporting_and_timing_shift,raw,41018,73090.0,182269.32668329176,False,0,False,177,7,401
reporting_and_timing_shift,raw,41019,69210.0,172593.5162094763,False,0,False,73,23,401
reporting_and_timing_shift,raw,41020,71910.0,179326.68329177058,False,0,False,29,11,401
reporting_and_timing_shift,raw,41021,73170.0,182468.82793017456,False,0,False,31,6,401
reporting_and_timing_shift,raw,41022,68750.0,171446.38403990027,False,0,False,65,24,401
reporting_and_timing_shift,raw,41023,70040.0,174663.3416458853,False,0,False,71,23,401
reporting_and_timing_shift,unique,41000,64180.0,160049.8753117207,False,0,False,88,46,401
reporting_and_timing_shift,unique,41001,63550.00000000001,158478.8029925187,False,0,False,63,46,401
reporting_and_timing_shift,unique,41002,64920.0,161895.26184538653,False,0,False,187,43,401
reporting_and_timing_shift,unique,41003,63550.00000000001,158478.8029925187,False,0,False,122,47,401
reporting_and_timing_shift,unique,41004,67170.0,167506.2344139651,False,0,False,164,32,401
reporting_and_timing_shift,unique,41005,56300.0,140399.00249376558,False,0,False,34,88,401
reporting_and_timing_shift,unique,41006,64330.0,160423.94014962594,False,0,False,144,44,401
reporting_and_timing_shift,unique,41007,56609.99999999999,141172.0698254364,False,0,False,54,86,401
reporting_and_timing_shift,unique,41008,61540.0,153466.3341645885,False,0,False,201,58,401
reporting_and_timing_shift,unique,41009,61760.0,154014.96259351622,False,0,False,93,54,401
reporting_and_timing_shift,unique,41010,62050.0,154738.15461346635,False,0,False,71,56,401
reporting_and_timing_shift,unique,41011,69900.0,174314.21446384038,False,0,False,271,17,401
reporting_and_timing_shift,unique,41012,54930.0,136982.54364089775,False,0,False,97,85,401
reporting_and_timing_shift,unique,41013,63420.0,158154.61346633415,False,0,False,94,46,401
reporting_and_timing_shift,unique,41014,62190.0,155087.28179551123,False,0,False,81,55,401
reporting_and_timing_shift,unique,41015,63270.0,157780.54862842892,False,0,False,121,48,401
reporting_and_timing_shift,unique,41016,64940.0,161945.13715710724,False,0,False,95,40,401
reporting_and_timing_shift,unique,41017,68300.0,170324.18952618452,False,0,False,167,24,401
reporting_and_timing_shift,unique,41018,67190.0,167556.1097256858,False,0,False,90,32,401
reporting_and_timing_shift,unique,41019,63470.00000000001,158279.3017456359,False,0,False,131,50,401
reporting_and_timing_shift,unique,41020,67600.0,168578.5536159601,False,0,False,107,29,401
reporting_and_timing_shift,unique,41021,68040.0,169675.81047381548,False,0,False,75,28,401
reporting_and_timing_shift,unique,41022,65110.0,162369.07730673315,False,0,False,115,41,401
reporting_and_timing_shift,unique,41023,62300.00000000001,155361.59600997507,False,0,False,98,55,401
reporting_and_timing_shift,decay,41000,72730.0,181371.5710723192,False,0,False,38,9,401
reporting_and_timing_shift,decay,41001,70340.0,175411.47132169578,False,0,False,90,17,401
reporting_and_timing_shift,decay,41002,70450.0,175685.78553615962,False,0,False,188,17,401
reporting_and_timing_shift,decay,41003,70710.0,176334.16458852869,False,0,False,129,16,401
reporting_and_timing_shift,decay,41004,72120.0,179850.3740648379,False,0,False,59,9,401
reporting_and_timing_shift,decay,41005,66540.0,165935.1620947631,False,0,False,42,41,401
reporting_and_timing_shift,decay,41006,71140.0,177406.4837905237,False,0,False,159,15,401
reporting_and_timing_shift,decay,41007,68140.0,169925.18703241897,False,0,False,53,32,401
reporting_and_timing_shift,decay,41008,70040.0,174663.3416458853,False,0,False,207,20,401
reporting_and_timing_shift,decay,41009,73590.0,183516.20947630925,False,0,False,182,5,401
reporting_and_timing_shift,decay,41010,72190.0,180024.93765586035,False,0,False,190,11,401
reporting_and_timing_shift,decay,41011,71090.0,177281.79551122195,False,0,False,91,12,401
reporting_and_timing_shift,decay,41012,69090.0,172294.2643391521,False,0,False,100,22,401
reporting_and_timing_shift,decay,41013,73090.0,182269.32668329176,False,0,False,220,4,401
reporting_and_timing_shift,decay,41014,70430.0,175635.9102244389,False,0,False,68,20,401
reporting_and_timing_shift,decay,41015,67600.0,168578.5536159601,False,0,False,115,30,401
reporting_and_timing_shift,decay,41016,70790.0,176533.66583541146,False,0,False,130,14,401
reporting_and_timing_shift,decay,41017,73410.0,183067.33167082295,False,0,False,214,2,401
reporting_and_timing_shift,decay,41018,71960.0,179451.37157107232,False,0,False,91,12,401
reporting_and_timing_shift,decay,41019,72690.0,181271.8204488778,False,0,False,72,8,401
reporting_and_timing_shift,decay,41020,72900.0,181795.51122194514,False,0,False,103,8,401
reporting_and_timing_shift,decay,41021,73120.0,182344.13965087282,False,0,False,56,6,401
reporting_and_timing_shift,decay,41022,70900.0,176807.9800498753,False,0,False,138,16,401
reporting_and_timing_shift,decay,41023,70970.0,176982.54364089773,False,0,False,86,18,401
reporting_and_timing_shift,never,41000,74910.0,186807.9800498753,False,0,True,401,0,401
reporting_and_timing_shift,never,41001,74490.0,185760.59850374065,False,0,True,401,0,401
reporting_and_timing_shift,never,41002,74500.0,185785.536159601,False,0,True,401,0,401
reporting_and_timing_shift,never,41003,74510.0,185810.47381546136,False,0,True,401,0,401
reporting_and_timing_shift,never,41004,74270.0,185211.97007481297,False,0,True,401,0,401
reporting_and_timing_shift,never,41005,76580.0,190972.5685785536,False,0,True,401,0,401
reporting_and_timing_shift,never,41006,74720.0,186334.16458852869,False,0,True,401,0,401
reporting_and_timing_shift,never,41007,75780.0,188977.55610972567,False,0,True,401,0,401
reporting_and_timing_shift,never,41008,75060.0,187182.04488778056,False,0,True,401,0,401
reporting_and_timing_shift,never,41009,74830.0,186608.4788029925,False,0,True,401,0,401
reporting_and_timing_shift,never,41010,74780.0,186483.79052369075,False,0,True,401,0,401
reporting_and_timing_shift,never,41011,73980.0,184488.77805486284,False,0,True,401,0,401
reporting_and_timing_shift,never,41012,74350.0,185411.47132169578,False,0,True,401,0,401
