seed,checkpoint,panel,map_seed,time_bucket,states,action_values,winnable_states,impossible_states,optimal_winnable_actions,abs_error_sum,squared_error_sum,signed_error_sum,action_regret_sum,winnable_regret_sum,impossible_regret_sum,mean_abs_q_error,rmse_q_error,q95_abs_q_error,mean_signed_q_bias,optimal_action_rate,mean_action_regret,winnable_mean_action_regret,impossible_action_regret
2,10000,train,300052,1-8,160,640,121,39,101,70.25604003764293,23.671524578990986,9.33219701136089,3.3766257403710003,3.3766257403710007,0.0,0.10977506255881708,0.19231941439873773,0.3627068441558528,0.01458155783025139,0.8347107438016529,0.021103910877318752,0.02790599785430579,0.0
2,10000,train,300052,9-16,160,640,160,0,132,11.135773321051541,0.30636959395420094,-3.740834295608969,1.066827111371001,1.066827111371001,0.0,0.017399645814143033,0.02187927079574269,0.030891048905454965,-0.005845053586889014,0.825,0.006667669446068757,0.006667669446068757,
2,10000,train,300052,17-24,160,640,160,0,126,9.895615990598817,0.2552762645514591,-4.671456754066916,1.5558966744000018,1.5558966744000018,0.0,0.01546189998531065,0.019971709074629914,0.025249116836919938,-0.0072991511782295555,0.7875,0.009724354215000012,0.009724354215000012,
2,10000,train,300052,25-32,160,640,160,0,109,10.880616231223703,0.3032678055835818,-5.6102353333019925,2.296026215156004,2.296026215156004,0.0,0.017000962861287036,0.02176823250115513,0.02730088860977174,-0.008765992708284364,0.68125,0.014350163844725025,0.014350163844725025,
2,10000,train,300053,all,640,2560,594,46,417,125.26163752753553,38.83567250096334,57.25240574530524,14.432144443520102,14.432144443520102,0.0,0.048930327159193564,0.1231673031721033,0.24821390548037203,0.02236422099425986,0.702020202020202,0.022550225693000157,0.024296539467205558,0.0
2,10000,train,300053,1-8,160,640,114,46,81,89.35339557031764,37.6443746062342,54.35856844378051,8.3844964519,8.384496451900002,0.0,0.1396146805786213,0.24252697854515268,0.4672622340340126,0.08493526319340705,0.7105263157894737,0.052403102824375006,0.0735482144903509,0.0
2,10000,train,300053,9-16,160,640,160,0,118,13.671000909994834,0.5128763778221619,3.4824109569497423,1.7210885025714528,1.7210885025714528,0.0,0.02136093892186693,0.028308467643924636,0.03542102078315528,0.005441267120233973,0.7375,0.01075680314107158,0.01075680314107158,
2,10000,train,300053,17-24,160,640,160,0,108,11.052848474969764,0.34627966753494804,0.5048483506150561,2.1756010166743236,2.1756010166743236,0.0,0.017270075742140255,0.023260739036482833,0.031558767373691066,0.0007888255478360251,0.675,0.013597506354214523,0.013597506354214523,
2,10000,train,300053,25-32,160,640,160,0,110,11.184392572253277,0.33214184937203217,-1.0934220060400648,2.150958472374324,2.150958472374324,0.0,0.017475613394145745,0.022780949050550996,0.030659040476212925,-0.0017084718844376013,0.6875,0.013443490452339524,0.013443490452339524,
2,10000,train,300054,all,640,2560,583,57,505,120.39429002425146,31.42301416162069,26.72359838235851,5.5748294274870425,5.5748294274870425,0.0,0.04702901954072323,0.11079086111626303,0.22406717330983203,0.010438905618108793,0.8662092624356775,0.008710670980448504,0.009562314626907448,0.0
2,10000,train,300054,1-8,160,640,103,57,87,82.74677018188214,30.218897883981924,16.621520019165814,3.2777559448,3.2777559448,0.0,0.12929182840919085,0.2172947950221582,0.36802473297696486,0.025971125029946585,0.8446601941747572,0.020485974655,0.03182287325048544,0.0
2,10000,train,300054,9-16,160,640,160,0,135,15.158915194310222,0.5724841046372624,7.093657806480136,0.9613887377000006,0.9613887377000006,0.0,0.02368580499110972,0.029908300076997397,0.03626435437239837,0.011083840322625212,0.84375,0.006008679610625003,0.006008679610625003,
2,10000,train,300054,17-24,160,640,160,0,142,11.850814298257745,0.3418546312735401,2.9162203818204073,0.6567478895999996,0.6567478895999996,0.0,0.018516897341027728,0.023111639088669294,0.027247899407522196,0.004556594346594387,0.8875,0.004104674309999998,0.004104674309999998,
2,10000,train,300054,25-32,160,640,160,0,141,10.637790349801355,0.28977754172795844,0.09220017489215415,0.678936855387043,0.678936855387043,0.0,0.016621547421564617,0.02127856689135655,0.024960237254985515,0.00014406277326899086,0.88125,0.004243355346169019,0.004243355346169019,
2,10000,train,300055,all,640,2560,589,51,539,107.66380324065173,21.100478781982204,-4.654735880681586,1.752686505292247,1.752686505292247,0.0,0.04205617314087958,0.09078752405596156,0.20644274575841773,-0.0018182562033912445,0.9151103565365025,0.0027385726645191358,0.0029756986507508435,0.0
