map_seed,repetition,step,current_row,action,reward,next_row,terminated,truncated,remaining,policy,q0,q1,q2,q3
300001,1,7,953,0,-0.005199999999999995,952,0,0,26,random,,,,
300001,1,8,952,2,-0.005199999999999995,951,0,0,25,random,,,,
300001,1,9,951,3,-0.005199999999999995,950,0,0,24,random,,,,
300001,1,10,950,3,-0.005199999999999995,949,0,0,23,random,,,,
300001,1,11,949,1,0.03360000000000002,1076,0,0,22,random,,,,
300001,1,12,1076,3,0.03239999999999999,1107,0,0,21,random,,,,
300001,1,13,1107,3,0.031200000000000006,1138,0,0,20,random,,,,
300001,1,14,1138,2,-0.0476,1105,0,0,19,random,,,,
300001,1,15,1105,1,0.031200000000000006,1264,0,0,18,random,,,,
300001,1,16,1264,0,-0.0476,1103,0,0,17,random,,,,
300001,1,17,1103,0,-0.007599999999999997,1102,0,0,16,random,,,,
300001,1,18,1102,3,0.031200000000000006,1133,0,0,15,random,,,,
300001,1,19,1133,2,-0.0476,1100,0,0,14,random,,,,
300001,1,20,1100,2,-0.04639999999999999,1067,0,0,13,random,,,,
300001,1,21,1067,3,0.03239999999999999,1098,0,0,12,random,,,,
300001,1,22,1098,2,-0.04639999999999999,1065,0,0,11,random,,,,
300001,1,23,1065,1,0.03239999999999999,1224,0,0,10,random,,,,
300001,1,24,1224,0,-0.04639999999999999,1063,0,0,9,random,,,,
300001,1,25,1063,0,-0.04520000000000001,934,0,0,8,random,,,,
300001,1,26,934,3,-0.005199999999999995,933,0,0,7,random,,,,
300001,1,27,933,0,-0.005199999999999995,932,0,0,6,random,,,,
300001,1,28,932,0,-0.005199999999999995,931,0,0,5,random,,,,
300001,1,29,931,1,0.03360000000000002,1058,0,0,4,random,,,,
300001,1,30,1058,1,0.03239999999999999,1217,0,0,3,random,,,,
300001,1,31,1217,1,-0.007599999999999997,1216,0,0,2,random,,,,
300001,1,32,1216,0,0.07000000000000002,-1,0,1,1,random,,,,
300001,2,1,959,0,-0.005199999999999995,958,0,0,32,random,,,,
300001,2,2,958,0,-0.005199999999999995,957,0,0,31,random,,,,
300001,2,3,957,2,-0.005199999999999995,956,0,0,30,random,,,,
300001,2,4,956,1,0.03360000000000002,1083,0,0,29,random,,,,
300001,2,5,1083,2,-0.04520000000000001,1050,0,0,28,random,,,,
300001,2,6,1050,1,0.03360000000000002,1209,0,0,27,random,,,,
300001,2,7,1209,2,-0.04520000000000001,1176,0,0,26,random,,,,
300001,2,8,1176,0,-0.04399999999999999,1015,0,0,25,random,,,,
300001,2,9,1015,0,-0.04279999999999999,918,0,0,24,random,,,,
300001,2,10,918,3,-0.0027999999999999935,917,0,0,23,random,,,,
300001,2,11,917,2,-0.0027999999999999935,916,0,0,22,random,,,,
300001,2,12,916,1,0.036,1011,0,0,21,random,,,,
300001,2,13,1011,1,0.0348,1170,0,0,20,random,,,,
300001,2,14,1170,1,-0.005199999999999995,1169,0,0,19,random,,,,
