seed,map_seed,tick,position_row,position_col,action,winnable_before,action_preserves_solvability,avoidable_deadline_loss,optimal_action,optimal_q_regret,q_absolute_error_mean,q_signed_error_mean,learned_top_two_margin,learned_selected_advantage_over_best_optimal,blocked,position_revisit,base_reward,shaped_reward,terminated,truncated,learned_q_0,learned_q_1,learned_q_2,learned_q_3,optimal_q_0,optimal_q_1,optimal_q_2,optimal_q_3
2,910028,4,0,3,3,True,True,False,False,0.07137924265700002,0.7360774129371516,-0.7360774129371516,0.003654956817626953,0.003654956817626953,False,True,-0.01,-0.04399999999999999,False,False,0.24737225472927094,0.27806374430656433,0.2783680558204651,0.28202301263809204,0.9982041518999998,1.0344372699999997,1.0344372699999997,0.9630580273429997
2,910028,5,0,4,3,True,True,False,False,0.03514612455700017,0.7797364627954518,-0.7797364627954518,0.005642712116241455,0.005642712116241455,True,True,-0.01,-0.003999999999999995,False,False,0.22712954878807068,0.24288298189640045,0.2439616322517395,0.24960434436798096,1.0030580273429996,1.0382041518999998,1.0382041518999998,1.0030580273429996
2,910028,6,0,4,3,True,True,False,False,0.03514612455700017,0.7847088014719045,-0.7847088014719045,0.0052571892738342285,0.0052571892738342285,True,True,-0.01,-0.003999999999999995,False,False,0.22198668122291565,0.23790593445301056,0.2392696738243103,0.24452686309814453,1.0030580273429996,1.0382041518999998,1.0382041518999998,1.0030580273429996
2,910028,7,0,4,3,True,True,False,False,0.03514612455700017,0.7896811252471959,-0.7896811252471959,0.00487169623374939,0.00487169623374939,True,True,-0.01,-0.003999999999999995,False,False,0.21684381365776062,0.23292891681194305,0.2345777153968811,0.2394494116306305,1.0030580273429996,1.0382041518999998,1.0382041518999998,1.0030580273429996
2,910028,8,0,4,3,True,True,False,False,0.03514612455700017,0.7935119679209744,-0.7935119679209744,0.004491031169891357,0.004491031169891357,True,True,-0.01,-0.003999999999999995,False,False,0.2128949612379074,0.2290516197681427,0.23101943731307983,0.2355104684829712,1.0030580273429996,1.0382041518999998,1.0382041518999998,1.0030580273429996
2,910028,9,0,4,3,True,True,False,False,0.03514612455700017,0.7966448104021108,-0.7966448104021108,0.004113301634788513,0.004113301634788513,True,True,-0.01,-0.003999999999999995,False,False,0.20967617630958557,0.2258467972278595,0.22815442085266113,0.23226772248744965,1.0030580273429996,1.0382041518999998,1.0382041518999998,1.0030580273429996
2,910028,10,0,4,3,True,True,False,False,0.03514612455700017,0.7997780924675023,-0.7997780924675023,0.0037319213151931763,0.0037319213151931763,True,True,-0.01,-0.003999999999999995,False,False,0.20645418763160706,0.2226419746875763,0.22529195249080658,0.22902387380599976,1.0030580273429996,1.0382041518999998,1.0382041518999998,1.0030580273429996
2,910028,11,0,4,3,True,True,False,False,0.03514612455700017,0.802914496326164,-0.802914496326164,0.0033266842365264893,0.0033266842365264893,True,True,-0.01,-0.003999999999999995,False,False,0.20321083068847656,0.21943683922290802,0.222446009516716,0.2257726937532425,1.0030580273429996,1.0382041518999998,1.0382041518999998,1.0030580273429996
2,910028,12,0,4,3,True,True,False,False,0.03514612455700017,0.8060508964595353,-0.8060508964595353,0.0029214471578598022,0.0029214471578598022,True,True,-0.01,-0.003999999999999995,False,False,0.19996750354766846,0.21623171865940094,0.21960005164146423,0.22252149879932404,1.0030580273429996,1.0382041518999998,1.0382041518999998,1.0030580273429996
2,910028,13,0,4,3,True,True,False,False,0.03514612455700017,0.8091872965929067,-0.8091872965929067,0.0025162100791931152,0.0025162100791931152,True,True,-0.01,-0.003999999999999995,False,False,0.19672414660453796,0.21302659809589386,0.21675410866737366,0.21927031874656677,1.0030580273429996,1.0382041518999998,1.0382041518999998,1.0030580273429996
2,910028,14,0,4,3,True,True,False,False,0.03514612455700017,0.8059792777535474,-0.8059792777535474,0.0022909045219421387,0.0022909045219421387,True,True,-0.01,-0.003999999999999995,False,False,0.1999933421611786,0.2159050852060318,0.22020895779132843,0.22249986231327057,1.0030580273429996,1.0382041518999998,1.0382041518999998,1.0030580273429996
