seed,map_seed,success,steps,base_return,blocked_steps,position_revisit_steps,winnable_decisions,optimal_fraction_when_winnable,mean_q_regret_when_winnable,mean_absolute_q_error,avoidable_deadline_loss_steps
2,910003,False,32,-0.3200000000000001,0,28,31,0.5161290322580645,0.06789116129032263,0.6678118588515591,1
2,910004,True,1,0.99,0,0,1,1.0,0.0,0.5120034273343086,0
2,910005,False,32,-0.3200000000000001,32,31,29,0.0,0.0664551829931034,0.6317852042261214,1
2,910006,False,32,-0.3200000000000001,15,24,31,0.25806451612903225,0.06753843063225808,0.534120646687876,1
2,910007,False,32,-0.3200000000000001,32,31,29,0.0,0.0664551829931034,0.65756733380519,1
2,910008,True,1,0.99,0,0,1,1.0,0.0,0.8996566179305315,0
2,910009,False,32,-0.3200000000000001,26,27,23,0.08695652173913043,0.06578586626775983,0.508975373513093,1
2,910010,False,32,-0.3200000000000001,32,31,28,0.0,0.06550850617996444,0.7550135418878359,1
2,910011,True,5,0.95,0,0,5,1.0,0.0,0.7248155175707269,0
2,910012,False,32,-0.3200000000000001,29,28,28,0.0,0.07203164746375013,0.7672359922074687,1
2,910013,False,32,-0.3200000000000001,11,29,28,0.2857142857142857,0.06479303150148245,0.5530211618479144,1
2,910014,False,32,-0.3200000000000001,32,31,31,0.0,0.06855709677419368,0.6213221157952706,1
2,910015,True,1,0.99,0,0,1,1.0,0.0,0.7469224016742706,0
2,910016,True,2,0.98,0,0,2,1.0,0.0,0.6171141284198188,0
2,910017,False,32,-0.3200000000000001,31,30,31,0.03225806451612903,0.06731487096774205,1.045687908361698,1
2,910018,False,32,-0.3200000000000001,32,31,31,0.0,0.06855709677419368,0.6528037847584454,1
2,910019,False,32,-0.3200000000000001,17,29,30,0.23333333333333334,0.0647949216833334,0.8584764850642864,1
2,910020,False,32,-0.3200000000000001,31,30,32,0.03125,0.06846875000000006,0.6729198165140602,1
2,910021,False,32,-0.3200000000000001,20,29,28,0.21428571428571427,0.06574143336775008,0.8891936882076243,1
2,910022,True,7,0.9299999999999999,0,0,7,1.0,0.0,0.8444915022184817,0
2,910023,False,32,-0.3200000000000001,29,28,30,0.1,0.06373656600000006,0.7078663605855666,1
2,910024,True,2,0.98,0,0,2,1.0,0.0,0.4836792493035221,0
2,910025,True,1,0.99,0,0,1,1.0,0.0,0.16973174918460843,0
2,910026,False,32,-0.3200000000000001,18,29,30,0.23333333333333334,0.06813254700000006,0.45380168954773353,1
2,910027,True,17,0.83,0,14,17,0.5882352941176471,0.032203705882352975,0.8387198260707441,0
2,910028,False,32,-0.3200000000000001,28,30,28,0.07142857142857142,0.06558614857589298,0.6832665930487164,1
2,910029,False,32,-0.3200000000000001,32,31,27,0.0,0.06463404766768653,0.4734616808401271,1
2,910030,False,32,-0.3200000000000001,2,28,30,0.5,0.06698749578000007,0.7917641303656631,1
2,910031,False,32,-0.3200000000000001,30,29,27,0.037037037037037035,0.06467309891719432,0.5498177460960958,1
